code	r	pubDate	total_assets	total_liability	market_cap	roe	pcf_ratio	pe_ratio_lyr	pb_ratio	net_profit_to_total_revenue	eps
002300.XSHE	0.022520325203252037	2017-10-27	3442710221.82	2071062506.69	57.5805	2.7142	54.3786	37.0696	4.5488	3.5088	0.07
002309.XSHE	-0.00284552845528455	2017-10-26	27756395994.16	21868261442.17	92.3456	0.23800000000000002	-306.3332	124.3686	1.6276	-0.0603	0.02
002322.XSHE	0.06642276422764229	2017-10-24	3317725877.05	294804939.31	90.1755	2.1364	-50.6891	59.3542	3.0494	37.6232	0.16
002334.XSHE	0.010813008130081294	2017-10-27	2936608064.81	1014241974.92	68.5527	5.1054	45.5961	100.7131	4.1139	15.8259	0.1145
002335.XSHE	0.08284552845528453	2017-10-31	6085115778.19	2399602114.21	107.197	2.2134	-80.1102	62.4811	3.1667	12.9452	0.27
002339.XSHE	0.02170731707317073	2017-10-26	3445701737.29	1566249442.24	48.0309	2.5452	628.5367	60.8106	2.8849	11.033	0.11
002350.XSHE	0.02178861788617886	2017-10-28	2808861271.12	1577024637.51	59.6375	0.0593	168.51	77.9961	5.1791	0.5673	0.0019
002358.XSHE	-0.019999999999999993	2017-10-27	8653285590.22	3783714858.58	146.9946	4.5493	18.6194	44.4687	3.1666	17.4922	0.23
002359.XSHE	-0.033902439024390225	2017-10-17	10620834943.09	4598393242.55	255.3813	2.051	12.6968	-527.4833	4.3322	16.4078	0.1911
002364.XSHE	0.030162601626016267	2017-10-26	2649535383.59	220319546.1	86.3945	0.8596	52.0433	54.5827	3.6983	9.8088	0.04
002441.XSHE	0.03756097560975609	2017-10-30	5367381882.34	1597718284.25	65.9471	1.7016	-20.0909	45.9935	1.8804	2.6844	0.11
002451.XSHE	0.04585365853658537	2017-10-21	1701243609.83	1065477074.69	125.7869	3.0323	304.1183	1445.4316	23.3899	16.395	0.043
002452.XSHE	0.01821138211382114	2017-10-26	3008648252.63	1618731611.06	38.1458	1.5679	24.3359	31.6415	2.8436	7.9841	0.04
002471.XSHE	0.011463414634146343	2017-10-28	9190981810.59	6323381365.61	71.3884	1.7690000000000001	-34.8936	63.77	3.8695	2.0216	0.026000000000000002
002498.XSHE	0.005447154471544715	2017-10-21	6464761881.43	1916130371.54	123.4241	1.4946	-12.0493	29.6141	2.7568	5.5867	0.02
002506.XSHE	-0.0026829268292682933	2017-10-28	20484130699.93	16255419710.11	218.5091	0.5823	25.7302	-811.9506	5.2321	0.9498	0.005
002518.XSHE	0.018048780487804884	2017-10-23	3367531366.41	1245493765.19	103.5601	4.7138	29.901999999999997	35.0032	4.9199	15.5199	0.17
002527.XSHE	0.025284552845528465	2017-10-25	5603587193.25	2771554518.77	69.3972	2.1763	60.2034	40.5491	2.5186	6.4036	0.0978
002531.XSHE	0.005528455284552851	2017-10-30	9645137964.14	4795718081.53	109.9434	2.4847	-244.3037	27.0479	2.3783	11.3311	0.07
002533.XSHE	0.016260162601626018	2017-10-27	3165030397.4	678351533.09	44.7475	1.9632	18.4987	26.4824	2.0238	4.0772	0.081
002534.XSHE	0.026991869918699188	2017-10-24	7800607265.57	4631338217.9	87.1791	5.1107	384.789	45.5172	3.1458	16.4998	0.2
002546.XSHE	0.011463414634146343	2017-10-26	3267507032.82	335725784.68	51.294	0.9473	-16.1624	56.8845	1.8481	20.1245	0.032
002560.XSHE	0.005528455284552851	2017-10-26	2517772417.21	888428372.94	34.8463	0.1093	-16.3641	41.6387	2.3267	0.4718	0.0039
002576.XSHE	0.09991869918699187	2017-10-27	985958804.71	135285666.28	40.7137	-2.0134	41.074	840.3833	4.6949	-6.9212	-0.1047
002580.XSHE	0.00910569105691057	2017-10-24	2012756713.92	801419663.63	32.1088	0.7608	-1440.3353	59.6119	2.7057	1.8564	0.02
002606.XSHE	0.1121951219512195	2017-10-25	1500506871.93	613513975.94	85.0444	2.3736	-1497.1514	90.3118	9.8778	11.2209	0.05
002610.XSHE	0.002926829268292682	2017-10-26	18152023204.62	12242537417.58	114.9661	1.8304	-10.17	77.97800000000001	2.032	7.6252	0.02
002617.XSHE	0.008455284552845522	2017-10-25	5832022368.84	3333380097.64	112.3547	3.0038	-29.1696	173.4846	4.6654	9.1395	0.0999
002622.XSHE	0.015691056910569105	2017-10-28	1663233152.6	446975852.56	127.008	0.5548	63.9191	810.4304	10.6354	14.6104	0.01
002630.XSHE	-0.015853658536585366	2017-10-26	14324843476.35	11065088811.71	79.8516	0.8586	28.0023	38.9385	2.5366	3.5173	0.0368
002665.XSHE	0.007967479674796744	2017-10-25	9442600912.29	1832651428.33	209.9522	0.3565	-73.9162	135.4217	2.8401	5.8641	0.0094
002692.XSHE	0.006747967479674797	2017-10-27	3001464567.28	1493592739.01	70.8092	0.9039	-139.2929	77.7808	4.8608	1.1946	0.0184
002706.XSHE	0.006504065040650405	2017-10-21	2071092440.53	393649630.85	64.8007	4.4354	-53.9839	39.9521	4.0452	18.2448	0.14
002733.XSHE	0.053577235772357734	2017-10-20	4070474658.93	1840676666.11	71.003	0.5491	9.7705	59.1446	3.2113	1.8005	0.0347
002767.XSHE	0.04634146341463417	2017-10-24	795668787.13	112665748.9	36.6	1.8477	-157.056	80.7693	5.5581	14.9647	0.0834
002801.XSHE	0.09398373983739837	2017-10-27	943377188.87	132535475.06	53.776	3.0518	-29.0307	53.8093	6.8499	17.885	0.21
002823.XSHE	0.05325203252032521	2017-10-24	1804292755.52	663572456.65	50.14	3.5563	25.4076	38.958	4.5709	11.2077	0.14
